gamma,Load
0.00E+00,0
8.52E-05,0.42
0.000109903,0.79
0.000129205,1.23
0.000204985,1.46
0.000220261,1.91
0.000272465,2.34
0.000346011,2.77
0.00039815,3.26
0.000458278,3.76
0.000584535,4.43
0.000564155,4.61
0.000711558,5.19
0.000761398,5.77
0.000871873,6.55
0.000961902,7.23
0.00105653,7.69
0.001138636,8.32
0.001247383,8.91
0.001379134,9.76
0.001195178,7.47
0.000964071,5.79
0.000792001,4.24
0.00059316,2.62
0.000385629,1.48
0.000206401,0.45
0.000163458,0
9.06E-05,-0.14
0.000110605,-0.26
9.69E-05,-0.39
6.82E-05,-0.65
5.90E-05,-0.94
3.58E-05,-1.27
3.52E-05,-1.69
-4.87E-05,-2.17
-0.00011441,-2.73
-0.000192749,-3.36
-0.000284246,-3.79
-0.000332424,-4.16
-0.000347505,-4.27
-0.00041466,-4.73
-0.000511015,-5.35
-0.000574208,-5.81
-0.000660341,-6.39
-0.000715611,-6.79
-0.000777271,-7.31
-0.000868833,-7.67
-0.000896631,-8.13
-0.000980399,-8.69
-0.000882121,-6.85
-0.000740459,-5.25
-0.000600525,-3.77
-0.000398293,-2.34
-0.000252098,-1.47
-0.000246525,-0.73
-0.000139493,-0.17
-0.000166706,0
-0.000100187,0.12
-7.87E-05,0.22
-7.67E-05,0.37
-7.22E-05,0.54
2.82E-05,0.77
3.56E-05,1.1
0.000135102,1.64
0.000199893,2.09
0.000252864,2.51
0.000335671,2.94
0.000452537,3.81
0.000494324,3.98
0.000555919,4.56
0.000683644,5.28
0.000828683,6.01
0.00089111,6.8
0.001007014,7.47
0.001136336,8.29
0.00126962,9.2
0.001365014,9.83
0.001170966,7.73
0.00100126,6.24
0.000807212,4.77
0.000623321,3.17
0.000452719,1.88
0.00026736,0.87
0.000126594,0.12
0.000115982,-0.01
4.07E-05,-0.15
9.28E-05,-0.33
7.81E-05,-0.52
3.28E-05,-0.79
4.11E-05,-1.09
5.08E-05,-1.37
-2.89E-05,-1.69
-6.86E-05,-1.91
-4.94E-05,-2.33
-0.000128478,-2.82
-0.000263425,-3.63
-0.000308407,-3.75
-0.000318954,-4.33
-0.00040106,-4.81
-0.000546866,-5.45
-0.000588016,-5.93
-0.000714208,-6.64
-0.000797911,-7.25
-0.00087299,-7.84
-0.001018094,-8.56
-0.000841166,-6.6
-0.000724807,-5.14
-0.000566726,-3.83
-0.000438677,-2.65
-0.000275738,-1.45
-0.000222248,-0.79
-0.00016716,-0.22
-0.000131375,0.02
-0.000112644,0.19
-0.00010989,0.28
-6.62E-05,0.43
-7.76E-05,0.52
-1.98E-05,0.67
-1.63E-05,1.02
5.95E-05,1.35
0.000140857,1.68
0.000201751,2.27
0.000256956,2.62
0.000378419,3.29
0.000452602,3.73
0.000480971,3.91
0.000591445,4.71
0.000690035,5.38
0.00081846,5.92
0.000872133,6.36
0.000961201,6.88
0.001028421,7.64
0.00110963,8.2
0.001242018,8.82
0.001334411,9.91
0.001165472,7.83
0.00098944,6.01
0.000775648,4.33
0.0005501,2.91
0.000376432,1.69
0.000231003,0.62
0.000120009,0.03
0.000134895,0
6.20E-05,-0.06
8.91E-05,-0.25
8.17E-05,-0.36
8.27E-05,-0.6
8.46E-05,-0.86
3.86E-05,-1.13
3.89E-05,-1.46
-1.27E-05,-1.85
1.60E-05,-2.09
-8.82E-05,-2.61
-0.000187709,-3.15
-0.000213143,-3.54
-0.000254865,-3.62
-0.000329813,-3.99
-0.000369561,-4.64
-0.000469111,-5.4
-0.000558244,-5.94
-0.000684371,-6.63
-0.000786987,-7.32
-0.000914907,-8.21
-0.001018159,-8.71
-0.000871197,-6.79
-0.000695867,-5.39
-0.000568519,-4.07
-0.000458486,-2.82
